"sequence","language","year","title","authors","venue","source_type","source_level","topic","url","used_in","in_text_citation","citation_gbt_7714_2025","verified_date"
"1","Chinese","2023","液压元件及系统智能化发展现状及趋势思考","焦宗夏; 吴帅; 李洋; 张超; 靳红涛; 舒圣; 位仁磊; 李仁洁; 王易; 张昊园; 张亚东","机械工程学报","journal","中文权威期刊","智能液压与预测性维护","https://qikan.cmes.org/jxgcxb/CN/10.3901/JME.2023.20.357","1.1;1.2.1","焦宗夏等[1]","焦宗夏, 吴帅, 李洋, 等. 液压元件及系统智能化发展现状及趋势思考[J/OL]. 机械工程学报, 2023[2026-06-11]. https://qikan.cmes.org/jxgcxb/CN/10.3901/JME.2023.20.357","2026-06-11"
"2","Chinese","2023","考虑随机效应的多源信息融合剩余寿命预测","王凤飞; 唐圣金; 孙晓艳; 祁帅; 于传强; 司小胜","北京航空航天大学学报","journal","985高校学报","多源信息融合RUL","https://bhxb.buaa.edu.cn/bhzk/article/doi/10.13700/j.bh.1001-5965.2021.0782","1.1;1.2.1","王凤飞等[2]","王凤飞, 唐圣金, 孙晓艳, 等. 考虑随机效应的多源信息融合剩余寿命预测[J/OL]. 北京航空航天大学学报, 2023[2026-06-11]. https://bhxb.buaa.edu.cn/bhzk/article/doi/10.13700/j.bh.1001-5965.2021.0782","2026-06-11"
"3","English","2024","A Bayesian adversarial probsparse Transformer model for long-term remaining useful life prediction","Yongbo Cheng; Junheng Qv; Ke Feng; Te Han","Reliability Engineering & System Safety","journal","顶刊/可靠性工程权威期刊","RUL uncertainty prediction","https://www.sciencedirect.com/science/article/pii/S0951832024002618","1.1;1.2.1","Cheng等[3]","CHENG Y, QV J, FENG K, et al. A Bayesian adversarial probsparse Transformer model for long-term remaining useful life prediction[J/OL]. Reliability Engineering & System Safety, 2024[2026-06-11]. https://www.sciencedirect.com/science/article/pii/S0951832024002618","2026-06-11"
"4","English","2025","Robust uncertainty quantification for online remaining useful life prediction with randomly missing and partially faulty sensor data","Wei Wang; Zhaoqiang Wang; Zhiqiang Cai; Changhua Hu; Shubin Si","Reliability Engineering & System Safety","journal","顶刊/可靠性工程权威期刊","RUL uncertainty with missing sensors","https://www.sciencedirect.com/science/article/pii/S0951832025003783","1.1;1.2.1","Wang等[4]","WANG W, WANG Z, CAI Z, et al. Robust uncertainty quantification for online remaining useful life prediction with randomly missing and partially faulty sensor data[J/OL]. Reliability Engineering & System Safety, 2025[2026-06-11]. https://www.sciencedirect.com/science/article/pii/S0951832025003783","2026-06-11"
"5","English","2023","A Time Series is Worth 64 Words: Long-term Forecasting with Transformers","Yuqi Nie; Nam H. Nguyen; Phanwadee Sinthong; Jayant Kalagnanam","International Conference on Learning Representations","conference","顶会/ICLR","PatchTST long-term forecasting backbone","https://iclr.cc/virtual/2023/poster/10876","1.2.2;5.1","Nie等[5]","NIE Y, NGUYEN N H, SINTHONG P, et al. A Time Series is Worth 64 Words: Long-term Forecasting with Transformers[C/OL]//International Conference on Learning Representations. 2023[2026-06-11]. https://iclr.cc/virtual/2023/poster/10876","2026-06-11"
"6","English","2023","TimesNet: Temporal 2D-Variation Modeling for General Time Series Analysis","Haixu Wu; Tengge Hu; Yong Liu; Hang Zhou; Jianmin Wang; Mingsheng Long","International Conference on Learning Representations","conference","顶会/ICLR","time series foundation backbone","https://openreview.net/forum?id=ju_Uqw384Oq","1.2.2;5.1","Wu等[6]","WU H, HU T, LIU Y, et al. TimesNet: Temporal 2D-Variation Modeling for General Time Series Analysis[C/OL]//International Conference on Learning Representations. 2023[2026-06-11]. https://openreview.net/forum?id=ju_Uqw384Oq","2026-06-11"
"7","English","2024","iTransformer: Inverted Transformers Are Effective for Time Series Forecasting","Yong Liu; Tengge Hu; Haoran Zhang; Haixu Wu; Shiyu Wang; Lintao Ma; Mingsheng Long","International Conference on Learning Representations","conference","顶会/ICLR","multivariate forecasting backbone","https://proceedings.iclr.cc/paper_files/paper/2024/hash/2ea18fdc667e0ef2ad82b2b4d65147ad-Abstract-Conference.html","1.2.2;5.1","Liu等[7]","LIU Y, HU T, ZHANG H, et al. iTransformer: Inverted Transformers Are Effective for Time Series Forecasting[C/OL]//International Conference on Learning Representations. 2024[2026-06-11]. https://proceedings.iclr.cc/paper_files/paper/2024/hash/2ea18fdc667e0ef2ad82b2b4d65147ad-Abstract-Conference.html","2026-06-11"
"8","English","2022","FEDformer: Frequency Enhanced Decomposed Transformer for Long-term Series Forecasting","Tian Zhou; Ziqing Ma; Qingsong Wen; Xue Wang; Liang Sun; Rong Jin","International Conference on Machine Learning","conference","顶会/ICML","long-term forecasting backbone","https://proceedings.mlr.press/v162/zhou22g.html","1.2.2;5.1","Zhou等[8]","ZHOU T, MA Z, WEN Q, et al. FEDformer: Frequency Enhanced Decomposed Transformer for Long-term Series Forecasting[C/OL]//Proceedings of the 39th International Conference on Machine Learning. PMLR, 2022[2026-06-11]. https://proceedings.mlr.press/v162/zhou22g.html","2026-06-11"
"9","English","2023","Are Transformers Effective for Time Series Forecasting?","Ailing Zeng; Muxi Chen; Lei Zhang; Qiang Xu","AAAI Conference on Artificial Intelligence","conference","顶会/AAAI","forecasting baseline critique","https://ojs.aaai.org/index.php/AAAI/article/view/26317","1.2.2;5.1","Zeng等[9]","ZENG A, CHEN M, ZHANG L, et al. Are Transformers Effective for Time Series Forecasting?[C/OL]//Proceedings of the AAAI Conference on Artificial Intelligence. 2023[2026-06-11]. https://ojs.aaai.org/index.php/AAAI/article/view/26317","2026-06-11"
"10","English","2022","Graph-Guided Network for Irregularly Sampled Multivariate Time Series","Xiang Zhang; Marko Zeman; Theodoros Tsiligkaridis; Marinka Zitnik","International Conference on Learning Representations","conference","顶会/ICLR","RAINDROP graph-guided irregular multivariate time series","https://www.ll.mit.edu/r-d/publications/graph-guided-network-irregularly-sampled-multivariate-time-series","1.2.2;5.1","Zhang等[10]","ZHANG X, ZEMAN M, TSILIGKARIDIS T, et al. Graph-Guided Network for Irregularly Sampled Multivariate Time Series[C/OL]//International Conference on Learning Representations. 2022[2026-06-11]. https://www.ll.mit.edu/r-d/publications/graph-guided-network-irregularly-sampled-multivariate-time-series","2026-06-11"
"11","English","2023","Neural Continuous-Discrete State Space Models for Irregularly-Sampled Time Series","Abdul Fatir Ansari; Alvin Heng; Andre Lim; Harold Soh","International Conference on Machine Learning","conference","顶会/ICML","irregular continuous-discrete state space model","https://proceedings.mlr.press/v202/ansari23a.html","1.2.2;5.1","Ansari等[11]","ANSARI A F, HENG A, LIM A, et al. Neural Continuous-Discrete State Space Models for Irregularly-Sampled Time Series[C/OL]//Proceedings of the 40th International Conference on Machine Learning. PMLR, 2023[2026-06-11]. https://proceedings.mlr.press/v202/ansari23a.html","2026-06-11"
"12","English","2024","GraFITi: Graphs for Forecasting Irregularly Sampled Time Series","Vijaya Krishna Yalavarthi; Kiran Madhusudhanan; Randolf Scholz; Nourhan Ahmed; Johannes Burchert; Shayan Jawed; Stefan Born; Lars Schmidt-Thieme","AAAI Conference on Artificial Intelligence","conference","顶会/AAAI","GraFITi irregular forecasting","https://mlanthology.org/aaai/2024/yalavarthi2024aaai-grafiti/","1.2.2;5.1","Yalavarthi等[12]","YALAVARTHI V K, MADHUSUDHANAN K, SCHOLZ R, et al. GraFITi: Graphs for Forecasting Irregularly Sampled Time Series[C/OL]//Proceedings of the AAAI Conference on Artificial Intelligence. 2024[2026-06-11]. https://mlanthology.org/aaai/2024/yalavarthi2024aaai-grafiti/","2026-06-11"
"13","English","2024","Temporal Graph ODEs for Irregularly-Sampled Time Series","Alessio Gravina; Daniele Zambon; Davide Bacciu; Cesare Alippi","International Joint Conference on Artificial Intelligence","conference","顶会/IJCAI","irregular temporal graph modeling","https://www.ijcai.org/proceedings/2024/445","1.2.2;5.1","Gravina等[13]","GRAVINA A, ZAMBON D, BACCIU D, et al. Temporal Graph ODEs for Irregularly-Sampled Time Series[C/OL]//Proceedings of the Thirty-Third International Joint Conference on Artificial Intelligence. 2024[2026-06-11]. https://www.ijcai.org/proceedings/2024/445","2026-06-11"
"14","English","2025","Revitalizing Canonical Pre-Alignment for Irregular Multivariate Time Series Forecasting","Ziyu Zhou; Yiming Huang; Yanyun Wang; Yuankai Wu; James Kwok; Yuxuan Liang","AAAI Conference on Artificial Intelligence / arXiv","conference","顶会/AAAI 2026 accepted; arXiv公开版","KAFNet irregular multivariate forecasting","https://arxiv.org/abs/2508.01971","1.2.2;5.1","Zhou等[14]","ZHOU Z, HUANG Y, WANG Y, et al. Revitalizing Canonical Pre-Alignment for Irregular Multivariate Time Series Forecasting[C/OL]. AAAI Conference on Artificial Intelligence, 2026 accepted; arXiv:2508.01971, 2025[2026-06-11]. https://arxiv.org/abs/2508.01971","2026-06-11"
"15","English","2024","Probabilistic Forecasting of Irregular Time Series via Conditional Flows","Vijaya Krishna Yalavarthi; Randolf Scholz; Stefan Born; Lars Schmidt-Thieme","arXiv","preprint","核心方法原文/arXiv","ProFITi conditional flow for irregular probabilistic forecasting","https://arxiv.org/abs/2402.06293","1.2.2;1.2.3;5.1","Yalavarthi等[15]","YALAVARTHI V K, SCHOLZ R, BORN S, et al. Probabilistic Forecasting of Irregular Time Series via Conditional Flows[EB/OL]. arXiv:2402.06293, 2024[2026-06-11]. https://arxiv.org/abs/2402.06293","2026-06-11"
